n,d0,amplitude_obs,amplitude_theo,erreur_relative
2000,3.5,0.42466327438660656,0.7071067811865476,0.399435437920694
100,3.5,0.3269248957218933,0.7071067811865476,0.5376583785926886
1000,3.5,0.3262784692813658,0.7071067811865476,0.5385725636319593
500,3.0,0.19644888856930176,0.7071067811865476,0.7221793174721726
100,3.0,0.1954415294564421,0.7071067811865476,0.7236039383917588
5000,3.5,0.17293751670718835,0.7071067811865476,0.7554294184295705
2000,3.0,0.1557942978084185,0.7071067811865476,0.7796735910989416
500,3.5,0.14572046396545887,0.7071067811865476,0.7939201435447482
1000,3.0,0.14255569884673888,0.7071067811865476,0.7983957972973673
5000,3.0,0.11255786297868099,0.7071067811865476,0.8408191436238168
100,4.0,,0.0,
500,4.0,,0.0,
1000,4.0,,0.0,
2000,4.0,,0.0,
5000,4.0,,0.0,
100,4.5,,0.0,
500,4.5,,0.0,
1000,4.5,,0.0,
2000,4.5,,0.0,
5000,4.5,,0.0,
